Accession,GOids,GOterms,Score,Signal Peptide,Mitochondrion Transit Peptide,Chloroplast Transit Peptide,Transmembrane Alpha Helix,Transmembrane Beta Strand,GPI-anchor
Sman__Smp_085690,GO:0005737,C:cytoplasm,0.7,,,,,,
Sman__Smp_086590,GO:0005737,C:cytoplasm,0.7,,,,,,
Sman__Smp_086690,GO:0005737,C:cytoplasm,0.7,,,,,,
Sman__Smp_089700,GO:0005886,C:plasma membrane,0.94,,,,755-784,,
Sman__Smp_093230,GO:0005737,C:cytoplasm,0.7,,,,,,
Sman__Smp_094190,GO:0005634,C:nucleus,1.0,,,,,,
Sman__Smp_094250,GO:0005615,C:extracellular space,0.98,1-23,,,,,
Sman__Smp_094760,GO:0005634,C:nucleus,1.0,,,,,,
Sman__Smp_096310,GO:0005737,C:cytoplasm,0.7,,,,,,
Sman__Smp_096640,GO:0005737,C:cytoplasm,0.7,,,,,,
Sman__Smp_097940,GO:0005737,C:cytoplasm,0.7,,,,,,
Sman__Smp_098840,GO:0005634,C:nucleus,1.0,,,,,,
Sman__Smp_101290,GO:0005737,C:cytoplasm,0.7,,,,,,
Sman__Smp_103570,GO:0005634,C:nucleus,1.0,,,,,,
Sman__Smp_103950,GO:0005634,C:nucleus,1.0,,,,,,
Sman__Smp_120700,GO:0005737,C:cytoplasm,0.7,,,,,,
Sman__Smp_121780,GO:0005737,C:cytoplasm,0.7,,,,,,
Sman__Smp_123640,GO:0005634,C:nucleus,1.0,,,,,,
Sman__Smp_123830,GO:0005615,C:extracellular space,0.79,1-37,,,,,
Sman__Smp_124130,GO:0005634,C:nucleus,1.0,,,,,,
Sman__Smp_124850,GO:0005634,C:nucleus,1.0,,,,,,
Sman__Smp_125360,GO:0005737,C:cytoplasm,0.7,,,,,,
Sman__Smp_125790,GO:0005737,C:cytoplasm,0.7,,,,,,
Sman__Smp_126140,GO:0005886,C:plasma membrane,0.74,,,,1309-1334,,
Sman__Smp_128480,GO:0005634,C:nucleus,1.0,,,,,,
Sman__Smp_128790,GO:0005737,C:cytoplasm,0.7,,,,,,
Sman__Smp_128920,GO:0005737,C:cytoplasm,0.7,,,,,,
Sman__Smp_130900,GO:0005737,C:cytoplasm,0.7,,,,,,
Sman__Smp_131800,GO:0005737,C:cytoplasm,0.7,,,,,,
Sman__Smp_133020,GO:0005737,C:cytoplasm,0.7,,,,,,
Sman__Smp_134260,GO:0005634,C:nucleus,1.0,,,,,,
Sman__Smp_135560,GO:0005615,C:extracellular space,1.0,,,,,,
Sman__Smp_135570,GO:0005739,C:mitochondrion,1.0,,,,,,
Sman__Smp_136300,GO:0005737,C:cytoplasm,0.7,,,,,,
Sman__Smp_137610,GO:0005634,C:nucleus,1.0,,,,,,
Sman__Smp_139930,GO:0005737,C:cytoplasm,0.7,,,,,,
Sman__Smp_140700,GO:0005737,C:cytoplasm,0.7,,,,,,
Sman__Smp_141230,GO:0005886,C:plasma membrane,0.8,,,,321-332;434-445,,
Sman__Smp_142050,GO:0005737,C:cytoplasm,0.7,,,,,,
Sman__Smp_143130,GO:0005737,C:cytoplasm,0.7,,,,,,
Sman__Smp_143470,GO:0005737,C:cytoplasm,0.7,,,,,,
Sman__Smp_145190,GO:0005634,C:nucleus,1.0,,,,,,
Sman__Smp_146200,GO:0005737,C:cytoplasm,0.7,,,,,,
Sman__Smp_146840,GO:0005615,C:extracellular space,0.86,1-19,,,,,
Sman__Smp_148790,GO:0005615,C:extracellular space,1.0,1-19,,,,,
Sman__Smp_150040,GO:0005634,C:nucleus,1.0,,,,,,
Sman__Smp_150220,GO:0005886,C:plasma membrane,0.83,,,,427-452,,
Sman__Smp_151310,GO:0005615,C:extracellular space,0.98,1-21,,,,,
Sman__Smp_151670,GO:0005634,C:nucleus,1.0,,,,,,
Sman__Smp_152330,GO:0005737,C:cytoplasm,1.0,,,,,,
Sman__Smp_156870,GO:0005737,C:cytoplasm,0.7,,,,,,
Sman__Smp_157300,GO:0012505,C:endomembrane system,0.82,1-19,,,160-171;372-383;409-423,,
Sman__Smp_157310,GO:0005739,C:mitochondrion,1.0,,,,,,
Sman__Smp_157350,GO:0005737,C:cytoplasm,0.7,,,,,,
Sman__Smp_159600,GO:0005615,C:extracellular space,1.0,1-22,,,,,
Sman__Smp_162710,GO:0005737,C:cytoplasm,0.7,,,,,,
Sman__Smp_163810,GO:0005615,C:extracellular space,1.0,1-20,,,,,
Sman__Smp_164380,GO:0005737,C:cytoplasm,0.7,,,,,,
Sman__Smp_164590,GO:0005615,C:extracellular space,1.0,,,,,,
Sman__Smp_165070,GO:0005737,C:cytoplasm,0.7,,,,,,
Sman__Smp_167010,GO:0005886,C:plasma membrane,0.88,,,,386-401,,
Sman__Smp_169950,GO:0005634,C:nucleus,1.0,,,,,,
Sman__Smp_170280,GO:0005739,C:mitochondrion,1.0,,,,,,
Sman__Smp_170340,GO:0005615,C:extracellular space,1.0,,,,,,
Sman__Smp_171370,GO:0005634,C:nucleus,1.0,,,,,,
Sman__Smp_172200,GO:0005737,C:cytoplasm,0.7,,,,,,
Sman__Smp_172240,GO:0005737,C:cytoplasm,0.7,,,,,,
Sman__Smp_175590,GO:0005886,C:plasma membrane,0.8,1-22,,,410-435;648-659;717-732,,
Sman__Smp_175630,GO:0005737,C:cytoplasm,0.7,,,,,,
Sman__Smp_176750,GO:0012505,C:endomembrane system,0.65,,,,97-108;241-252,,
Sman__Smp_179070,GO:0005737,C:cytoplasm,0.7,,,,,,
Sman__Smp_181490,GO:0005634,C:nucleus,1.0,,,,,,
Sman__Smp_183710,GO:0005737,C:cytoplasm,1.0,,,,,,
Sman__Smp_194270,GO:0005737,C:cytoplasm,0.7,,,,,,
Sman__Smp_194610,GO:0005737,C:cytoplasm,0.66,,,,,,
Sman__Smp_195080,GO:0005737,C:cytoplasm,0.7,,,,,,
Sman__Smp_196840,GO:0005615,C:extracellular space,1.0,,,,,,
Sman__Smp_197370,GO:0005615,C:extracellular space,0.81,1-24,,,,,
Sman__Smp_202970,GO:0005737,C:cytoplasm,0.7,,,,,,
Sman__Smp_203130,GO:0005737,C:cytoplasm,0.7,,,,,,
Sman__Smp_210740,GO:0005737,C:cytoplasm,1.0,,,,,,
Sman__Smp_212730,GO:0005737,C:cytoplasm,0.7,,,,,,
Sman__Smp_213390,GO:0005634,C:nucleus,1.0,,,,,,
Sman__Smp_213900,GO:0005615,C:extracellular space,0.56,,,,,,
Sman__Smp_213910,GO:0005615,C:extracellular space,0.8,1-28,,,,,
Sman__Smp_214100,GO:0005737,C:cytoplasm,0.7,,,,,,
Sman__Smp_241420,GO:0005737,C:cytoplasm,0.7,,,,,,
Sman__Smp_243630,GO:0005634,C:nucleus,1.0,,,,,,
Sman__Smp_246050,GO:0005739,C:mitochondrion,1.0,,,,,,
Sman__Smp_246550,GO:0005737,C:cytoplasm,0.7,,,,,,
Sman__Smp_247600,GO:0005634,C:nucleus,1.0,,,,,,
Sman__Smp_247740,GO:0005634,C:nucleus,1.0,,,,,,
Sman__Smp_248010,GO:0005634,C:nucleus,1.0,,,,,,
Sman__Smp_304500,GO:0005634,C:nucleus,1.0,,,,,,
Sman__Smp_306600,GO:0005737,C:cytoplasm,1.0,,,,,,
Sman__Smp_306910,GO:0012505,C:endomembrane system,0.78,,,,4-21;1173-1198,,
Sman__Smp_307010,GO:0005737,C:cytoplasm,1.0,,,,,,
Sman__Smp_307020,GO:0005737,C:cytoplasm,1.0,,,,,,
Sman__Smp_307260,GO:0005737,C:cytoplasm,0.7,,,,,,
Sman__Smp_308420,GO:0005737,C:cytoplasm,0.7,,,,,,
Sman__Smp_309860,GO:0005737,C:cytoplasm,0.7,,,,,,
Sman__Smp_313640,GO:0005634,C:nucleus,1.0,,,,,,
Sman__Smp_315700,GO:0005737,C:cytoplasm,0.7,,,,,,
Sman__Smp_315810,GO:0005886,C:plasma membrane,0.58,,,,160-177,,
Sman__Smp_317420,GO:0005886,C:plasma membrane,0.9,,,,126-143,,
Sman__Smp_328200,GO:0005634,C:nucleus,1.0,,,,,,
Sman__Smp_331960,GO:0005634,C:nucleus,1.0,,,,,,
Sman__Smp_332370,GO:0012505,C:endomembrane system,0.9,,,,1005-1016;1046-1062,,
Sman__Smp_332820,GO:0005886,C:plasma membrane,0.78,,,,1535-1546,,
Sman__Smp_333410,GO:0005634,C:nucleus,1.0,,,,,,
Sman__Smp_334130,GO:0005737,C:cytoplasm,0.7,,,,,,
Sman__Smp_334370,GO:0005886,C:plasma membrane,0.77,,,,138-164,,
Sman__Smp_335730,GO:0005737,C:cytoplasm,0.7,,,,,,
Sman__Smp_335950,GO:0005737,C:cytoplasm,0.7,,,,,,
Sman__Smp_336830,GO:0005634,C:nucleus,1.0,,,,,,
Sman__Smp_340300,GO:0005737,C:cytoplasm,0.7,,,,,,
Sman__Smp_342370,GO:0005886,C:plasma membrane,0.71,,,,505-516;552-567,,
Sman__Smp_343540,GO:0005737,C:cytoplasm,0.7,,,,,,
Sman__Smp_343650,GO:0005886,C:plasma membrane,0.78,1-20,,,2036-2047,,
Sman__Smp_343740,GO:0005886,C:plasma membrane,0.95,,,,10-32,,
Sman__Smp_344780,GO:0005737,C:cytoplasm,0.7,,,,,,
Sman__Smp_348670,GO:0005737,C:cytoplasm,0.77,,,,,,
