Orthogroup	Cele	Dmel	Hsap	Mmus	Shae	Sjap	Sman	Xlae	Matched_candidates
OG0000787	Cele__WBGene00004055, Cele__WBGene00004056	Dmel__GeneID_2768679, Dmel__GeneID_34780, Dmel__GeneID_42866	Hsap__GeneID_1432, Hsap__GeneID_5600, Hsap__GeneID_5603, Hsap__GeneID_6300	Mmus__GeneID_19094, Mmus__GeneID_26415, Mmus__GeneID_26416, Mmus__GeneID_29857	Shae__MS3_00006560	Sjap__EWB00_009122	Sman__Smp_133020	Xlae__GeneID_100329215, Xlae__GeneID_108711159, Xlae__GeneID_379992, Xlae__GeneID_398592, Xlae__GeneID_494669	Shae__MS3_00006560, Sjap__EWB00_009122, Sman__Smp_133020
OG0000805	Cele__WBGene00000898	Dmel__GeneID_41809, Dmel__GeneID_42549	Hsap__GeneID_3480, Hsap__GeneID_3643, Hsap__GeneID_3645	Mmus__GeneID_16001, Mmus__GeneID_16337, Mmus__GeneID_23920	Shae__MS3_00005028, Shae__MS3_00005322	Sjap__EWB00_003964, Sjap__EWB00_007965	Sman__Smp_009990, Sman__Smp_341160	Xlae__GeneID_100158430, Xlae__GeneID_108700357, Xlae__GeneID_108711478, Xlae__GeneID_398006, Xlae__GeneID_398022, Xlae__GeneID_398941	Shae__MS3_00005028, Sjap__EWB00_007965
OG0000873	Cele__WBGene00013869	Dmel__GeneID_36002	Hsap__GeneID_10290, Hsap__GeneID_340156, Hsap__GeneID_85366, Hsap__GeneID_91807	Mmus__GeneID_11790, Mmus__GeneID_213435, Mmus__GeneID_228785, Mmus__GeneID_238564	Shae__MS3_00010577	Sjap__EWB00_003876	Sman__Smp_121780	Xlae__GeneID_108700969, Xlae__GeneID_108701290, Xlae__GeneID_108702928, Xlae__GeneID_108714133, Xlae__GeneID_108715487, Xlae__GeneID_108719107, Xlae__GeneID_108720081	Shae__MS3_00010577, Sjap__EWB00_003876, Sman__Smp_121780
OG0000878	Cele__WBGene00002189	Dmel__GeneID_34284	Hsap__GeneID_5566, Hsap__GeneID_5567, Hsap__GeneID_5568	Mmus__GeneID_18747, Mmus__GeneID_18749	Shae__MS3_00002636, Shae__MS3_00003633, Shae__MS3_00008682	Sjap__EWB00_004196, Sjap__EWB00_007512, Sjap__EWB00_007721	Sman__Smp_152330, Sman__Smp_164380, Sman__Smp_307260	Xlae__GeneID_100101276, Xlae__GeneID_108711677, Xlae__GeneID_108714187, Xlae__GeneID_380388	Shae__MS3_00002636, Shae__MS3_00003633, Shae__MS3_00008682, Sjap__EWB00_004196, Sjap__EWB00_007512, Sjap__EWB00_007721, Sman__Smp_152330, Sman__Smp_164380, Sman__Smp_307260
OG0000917	Cele__WBGene00006779	Dmel__GeneID_43828	Hsap__GeneID_815, Hsap__GeneID_816, Hsap__GeneID_817, Hsap__GeneID_818	Mmus__GeneID_108058, Mmus__GeneID_12322, Mmus__GeneID_12323, Mmus__GeneID_12325	Shae__MS3_00003383	Sjap__EWB00_003065	Sman__Smp_011660	Xlae__GeneID_108696257, Xlae__GeneID_108712641, Xlae__GeneID_380508, Xlae__GeneID_397789, Xlae__GeneID_398376, Xlae__GeneID_399160, Xlae__GeneID_399284	Shae__MS3_00003383, Sjap__EWB00_003065, Sman__Smp_011660
OG0000961					Shae__MS3_00001022, Shae__MS3_00002532, Shae__MS3_00008218, Shae__MS3_00011160	Sjap__EWB00_000702, Sjap__EWB00_004004, Sjap__EWB00_004733, Sjap__EWB00_004867, Sjap__EWB00_005106, Sjap__EWB00_005107, Sjap__EWB00_005108, Sjap__EWB00_005210, Sjap__EWB00_005211, Sjap__EWB00_005490, Sjap__EWB00_008306, Sjap__EWB00_009749, Sjap__EWB00_009750, Sjap__EWB00_010857, Sjap__EWB00_011234	Sman__Smp_332820		Sman__Smp_332820
OG0000983	Cele__WBGene00006999	Dmel__GeneID_317824	Hsap__GeneID_4026, Hsap__GeneID_54751, Hsap__GeneID_7205, Hsap__GeneID_7791	Mmus__GeneID_210126, Mmus__GeneID_22051, Mmus__GeneID_22793, Mmus__GeneID_74202	Shae__MS3_00003129	Sjap__EWB00_009560	Sman__Smp_146200	Xlae__GeneID_100049724, Xlae__GeneID_100137707, Xlae__GeneID_108695689, Xlae__GeneID_108696847, Xlae__GeneID_108718052, Xlae__GeneID_735087	Shae__MS3_00003129, Sjap__EWB00_009560, Sman__Smp_146200
OG0001017	Cele__WBGene00006746	Dmel__GeneID_32398, Dmel__GeneID_32400	Hsap__GeneID_4917, Hsap__GeneID_9423	Mmus__GeneID_18208, Mmus__GeneID_18209	Shae__MS3_00003962, Shae__MS3_00004070	Sjap__EWB00_002313, Sjap__EWB00_003107	Sman__Smp_146840, Sman__Smp_151310	Xlae__GeneID_100127305, Xlae__GeneID_108697748, Xlae__GeneID_108701181, Xlae__GeneID_108701615, Xlae__GeneID_108703174, Xlae__GeneID_373694	Shae__MS3_00003962, Shae__MS3_00004070, Sjap__EWB00_002313, Sjap__EWB00_003107, Sman__Smp_146840, Sman__Smp_151310
OG0001055		Dmel__GeneID_34132	Hsap__GeneID_3702, Hsap__GeneID_660, Hsap__GeneID_695, Hsap__GeneID_7006, Hsap__GeneID_7294	Mmus__GeneID_12169, Mmus__GeneID_12229, Mmus__GeneID_16428, Mmus__GeneID_21682, Mmus__GeneID_22165	Shae__MS3_00001484	Sjap__EWB00_001471	Sman__Smp_124850	Xlae__GeneID_108698274, Xlae__GeneID_108706583, Xlae__GeneID_108710759, Xlae__GeneID_121402817, Xlae__GeneID_734996	Shae__MS3_00001484, Sjap__EWB00_001471, Sman__Smp_124850
OG0001080	Cele__WBGene00003400		Hsap__GeneID_1612, Hsap__GeneID_1613, Hsap__GeneID_23604	Mmus__GeneID_13143, Mmus__GeneID_13144, Mmus__GeneID_69635	Shae__MS3_00005260	Sjap__EWB00_007729	Sman__Smp_181490	Xlae__GeneID_108700356, Xlae__GeneID_108711286, Xlae__GeneID_108712999, Xlae__GeneID_431807, Xlae__GeneID_432161, Xlae__GeneID_446562, Xlae__GeneID_496293, Xlae__GeneID_734514	Shae__MS3_00005260, Sman__Smp_181490
OG0001083	Cele__WBGene00001487, Cele__WBGene00002198, Cele__WBGene00020659, Cele__WBGene00022780	Dmel__GeneID_41118	Hsap__GeneID_2241, Hsap__GeneID_2242	Mmus__GeneID_14158, Mmus__GeneID_14159	Shae__MS3_00009762	Sjap__EWB00_003747	Sman__Smp_331960, Sman__Smp_332370, Sman__Smp_335950	Xlae__GeneID_108695677, Xlae__GeneID_108707219, Xlae__GeneID_108711440, Xlae__GeneID_444292	Shae__MS3_00009762, Sjap__EWB00_003747, Sman__Smp_331960, Sman__Smp_332370, Sman__Smp_335950
OG0001084	Cele__WBGene00004740	Dmel__GeneID_32039, Dmel__GeneID_53425	Hsap__GeneID_238, Hsap__GeneID_4058, Hsap__GeneID_6098	Mmus__GeneID_11682, Mmus__GeneID_17005, Mmus__GeneID_19886	Shae__MS3_00010367	Sjap__EWB00_003063	Sman__Smp_011700	Xlae__GeneID_108698980, Xlae__GeneID_108699739, Xlae__GeneID_108716096, Xlae__GeneID_108716156, Xlae__GeneID_108717382, Xlae__GeneID_121394155	Shae__MS3_00010367, Sjap__EWB00_003063, Sman__Smp_011700
OG0001118	Cele__WBGene00004789		Hsap__GeneID_100533105, Hsap__GeneID_10110, Hsap__GeneID_23678, Hsap__GeneID_6446	Mmus__GeneID_170755, Mmus__GeneID_20393, Mmus__GeneID_27219	Shae__MS3_00002812	Sjap__EWB00_008632, Sjap__EWB00_008633	Sman__Smp_322170, Sman__Smp_336830	Xlae__GeneID_108695327, Xlae__GeneID_108704609, Xlae__GeneID_108719280, Xlae__GeneID_399130, Xlae__GeneID_444618	Shae__MS3_00002812, Sman__Smp_336830
OG0001220	Cele__WBGene00002081	Dmel__GeneID_32275	Hsap__GeneID_3655, Hsap__GeneID_3675, Hsap__GeneID_3679	Mmus__GeneID_16400, Mmus__GeneID_16403, Mmus__GeneID_16404	Shae__MS3_00007742	Sjap__EWB00_011039	Sman__Smp_306910	Xlae__GeneID_108702534, Xlae__GeneID_108702994, Xlae__GeneID_108708560, Xlae__GeneID_108708991, Xlae__GeneID_373657, Xlae__GeneID_397985	Shae__MS3_00007742, Sjap__EWB00_011039, Sman__Smp_306910
OG0001282	Cele__WBGene00006836	Dmel__GeneID_38488, Dmel__GeneID_39907	Hsap__GeneID_10979, Hsap__GeneID_55612, Hsap__GeneID_83706	Mmus__GeneID_108101, Mmus__GeneID_218952, Mmus__GeneID_241639	Shae__MS3_00003235	Sjap__EWB00_002103	Sman__Smp_053420	Xlae__GeneID_100049120, Xlae__GeneID_108713911, Xlae__GeneID_379119, Xlae__GeneID_446790, Xlae__GeneID_494682	Shae__MS3_00003235, Sjap__EWB00_002103, Sman__Smp_053420
OG0001312	Cele__WBGene00016038, Cele__WBGene00017472	Dmel__GeneID_37247	Hsap__GeneID_6788, Hsap__GeneID_6789, Hsap__GeneID_80122	Mmus__GeneID_22625, Mmus__GeneID_56274, Mmus__GeneID_58231	Shae__MS3_00004635	Sjap__EWB00_002413	Sman__Smp_333410	Xlae__GeneID_108701280, Xlae__GeneID_108719348, Xlae__GeneID_398925, Xlae__GeneID_432210, Xlae__GeneID_779226	Shae__MS3_00004635, Sjap__EWB00_002413, Sman__Smp_333410
OG0001364	Cele__WBGene00000018	Dmel__GeneID_45821	Hsap__GeneID_25, Hsap__GeneID_27	Mmus__GeneID_11350, Mmus__GeneID_11352	Shae__MS3_00006730, Shae__MS3_00010068	Sjap__EWB00_005015, Sjap__EWB00_010687	Sman__Smp_128790, Sman__Smp_246700	Xlae__GeneID_108699954, Xlae__GeneID_108704697, Xlae__GeneID_373818, Xlae__GeneID_403362	Shae__MS3_00006730, Sjap__EWB00_010687, Sman__Smp_128790
OG0001365		Dmel__GeneID_35900	Hsap__GeneID_130399, Hsap__GeneID_7046, Hsap__GeneID_91	Mmus__GeneID_11479, Mmus__GeneID_21812, Mmus__GeneID_269275	Shae__MS3_00008020	Sjap__EWB00_001594	Sman__Smp_049760	Xlae__GeneID_108701335, Xlae__GeneID_108702964, Xlae__GeneID_108708537, Xlae__GeneID_108719029, Xlae__GeneID_399295, Xlae__GeneID_399454	Shae__MS3_00008020, Sjap__EWB00_001594, Sman__Smp_049760
OG0001371	Cele__WBGene00001528, Cele__WBGene00001530, Cele__WBGene00001531, Cele__WBGene00001532, Cele__WBGene00001533, Cele__WBGene00001534, Cele__WBGene00001539, Cele__WBGene00001540, Cele__WBGene00001542, Cele__WBGene00001544, Cele__WBGene00001545, Cele__WBGene00001547				Shae__MS3_00008672	Sjap__EWB00_008992	Sman__Smp_085680	Xlae__GeneID_121393820	Shae__MS3_00008672
OG0001389	Cele__WBGene00003374	Dmel__GeneID_44111	Hsap__GeneID_4293, Hsap__GeneID_4294, Hsap__GeneID_4296, Hsap__GeneID_84451	Mmus__GeneID_234878, Mmus__GeneID_26403, Mmus__GeneID_269881, Mmus__GeneID_338372	Shae__MS3_00004145	Sjap__EWB00_007640	Sman__Smp_176580	Xlae__GeneID_100381159, Xlae__GeneID_108699730, Xlae__GeneID_398612	Sjap__EWB00_007640
OG0001395	Cele__WBGene00012779	Dmel__GeneID_33798	Hsap__GeneID_344387, Hsap__GeneID_8814	Mmus__GeneID_381113, Mmus__GeneID_71091	Shae__MS3_00002403, Shae__MS3_00006341	Sjap__EWB00_003002, Sjap__EWB00_004212	Sman__Smp_124130, Sman__Smp_157240	Xlae__GeneID_108698750, Xlae__GeneID_108699794, Xlae__GeneID_108704730, Xlae__GeneID_121398949	Shae__MS3_00002403, Sjap__EWB00_004212, Sman__Smp_124130
OG0001397	Cele__WBGene00000102, Cele__WBGene00000103	Dmel__GeneID_41957	Hsap__GeneID_10000, Hsap__GeneID_207, Hsap__GeneID_208	Mmus__GeneID_11651, Mmus__GeneID_11652, Mmus__GeneID_23797	Shae__MS3_00005037	Sjap__EWB00_011263	Sman__Smp_243630	Xlae__GeneID_108698803, Xlae__GeneID_379783, Xlae__GeneID_399170, Xlae__GeneID_432172	Shae__MS3_00005037, Sjap__EWB00_011263, Sman__Smp_243630
OG0001410	Cele__WBGene00001526	Dmel__GeneID_42064	Hsap__GeneID_10494, Hsap__GeneID_51765, Hsap__GeneID_8428	Mmus__GeneID_223255, Mmus__GeneID_59041, Mmus__GeneID_70415	Shae__MS3_00004152	Sjap__EWB00_007650	Sman__Smp_096640	Xlae__GeneID_108698480, Xlae__GeneID_108709753, Xlae__GeneID_432004, Xlae__GeneID_444155, Xlae__GeneID_444523	Shae__MS3_00004152, Sjap__EWB00_007650, Sman__Smp_096640
OG0001424	Cele__WBGene00004042, Cele__WBGene00004043	Dmel__GeneID_40232	Hsap__GeneID_1263, Hsap__GeneID_126520, Hsap__GeneID_5347	Mmus__GeneID_12795, Mmus__GeneID_18817, Mmus__GeneID_216166	Shae__MS3_00001471	Sjap__EWB00_008372	Sman__Smp_009600	Xlae__GeneID_100381164, Xlae__GeneID_100505422, Xlae__GeneID_108701628, Xlae__GeneID_380481	Shae__MS3_00001471, Sjap__EWB00_008372, Sman__Smp_009600
OG0001448	Cele__WBGene00006771	Dmel__GeneID_38978	Hsap__GeneID_7094, Hsap__GeneID_83660	Mmus__GeneID_21894, Mmus__GeneID_70549	Shae__MS3_00000278, Shae__MS3_00001770	Sjap__EWB00_003146, Sjap__EWB00_006505	Sman__Smp_167010, Sman__Smp_343540	Xlae__GeneID_100037170, Xlae__GeneID_108711290, Xlae__GeneID_108712994, Xlae__GeneID_733283	Shae__MS3_00000278, Shae__MS3_00001770, Sjap__EWB00_003146, Sjap__EWB00_006505, Sman__Smp_167010, Sman__Smp_343540
OG0001524		Dmel__GeneID_35795	Hsap__GeneID_100131244, Hsap__GeneID_100310846, Hsap__GeneID_157567, Hsap__GeneID_92565	Mmus__GeneID_383787, Mmus__GeneID_66729, Mmus__GeneID_66930, Mmus__GeneID_68839	Shae__MS3_00008656	Sjap__EWB00_004872	Sman__Smp_147110	Xlae__GeneID_108695394, Xlae__GeneID_108696122, Xlae__GeneID_108699253, Xlae__GeneID_108719343	Sjap__EWB00_004872
OG0001587	Cele__WBGene00000099	Dmel__GeneID_34504	Hsap__GeneID_6790, Hsap__GeneID_6795, Hsap__GeneID_9212	Mmus__GeneID_20871, Mmus__GeneID_20877, Mmus__GeneID_20878	Shae__MS3_00004019	Sjap__EWB00_004811	Sman__Smp_335730	Xlae__GeneID_397925, Xlae__GeneID_398349, Xlae__GeneID_398457, Xlae__GeneID_444083	Shae__MS3_00004019, Sjap__EWB00_004811, Sman__Smp_335730
OG0001595	Cele__WBGene00000405	Dmel__GeneID_34411, Dmel__GeneID_42453	Hsap__GeneID_1017, Hsap__GeneID_1018, Hsap__GeneID_983	Mmus__GeneID_12534, Mmus__GeneID_12566	Shae__MS3_00008679	Sjap__EWB00_003272	Sman__Smp_080730	Xlae__GeneID_379785, Xlae__GeneID_380246, Xlae__GeneID_399314, Xlae__GeneID_432036	Shae__MS3_00008679, Sjap__EWB00_003272, Sman__Smp_080730
OG0001602	Cele__WBGene00001978	Dmel__GeneID_40517	Hsap__GeneID_1495, Hsap__GeneID_1496, Hsap__GeneID_29119	Mmus__GeneID_12385, Mmus__GeneID_12386, Mmus__GeneID_216033	Shae__MS3_00007343	Sjap__EWB00_001225	Sman__Smp_130900	Xlae__GeneID_108706501, Xlae__GeneID_108710831, Xlae__GeneID_399303, Xlae__GeneID_444710	Shae__MS3_00007343, Sjap__EWB00_001225, Sman__Smp_130900
OG0001608	Cele__WBGene00002247	Dmel__GeneID_34068	Hsap__GeneID_22798, Hsap__GeneID_3912, Hsap__GeneID_3913	Mmus__GeneID_16777, Mmus__GeneID_16779	Shae__MS3_00000487	Sjap__EWB00_002741	Sman__Smp_148790	Xlae__GeneID_108711178, Xlae__GeneID_108711179, Xlae__GeneID_108713081, Xlae__GeneID_108715891, Xlae__GeneID_494988	Shae__MS3_00000487, Sjap__EWB00_002741, Sman__Smp_148790
OG0001663	Cele__WBGene00012019, Cele__WBGene00012352	Dmel__GeneID_42203	Hsap__GeneID_23683, Hsap__GeneID_25865, Hsap__GeneID_5587	Mmus__GeneID_101540, Mmus__GeneID_18760, Mmus__GeneID_75292	Shae__MS3_00004366	Sjap__EWB00_001036	Sman__Smp_244010	Xlae__GeneID_108699707, Xlae__GeneID_108713955, Xlae__GeneID_447531	Sjap__EWB00_001036
OG0001726	Cele__WBGene00002210	Dmel__GeneID_31170, Dmel__GeneID_37152	Hsap__GeneID_102724428, Hsap__GeneID_150094, Hsap__GeneID_23235	Mmus__GeneID_17691, Mmus__GeneID_235344	Shae__MS3_00002201	Sjap__EWB00_002797	Sman__Smp_040190	Xlae__GeneID_100502576, Xlae__GeneID_108697582, Xlae__GeneID_108709301	Shae__MS3_00002201, Sjap__EWB00_002797, Sman__Smp_040190
OG0001730	Cele__WBGene00003401	Dmel__GeneID_3354888	Hsap__GeneID_5594, Hsap__GeneID_5595	Mmus__GeneID_26413, Mmus__GeneID_26417	Shae__MS3_00008190, Shae__MS3_00010729	Sjap__EWB00_004095, Sjap__EWB00_008683	Sman__Smp_047900, Sman__Smp_142050	Xlae__GeneID_397785, Xlae__GeneID_398985	Shae__MS3_00008190, Shae__MS3_00010729, Sjap__EWB00_004095, Sjap__EWB00_008683, Sman__Smp_047900, Sman__Smp_142050
OG0001746	Cele__WBGene00002203	Dmel__GeneID_43673	Hsap__GeneID_102800317, Hsap__GeneID_1453, Hsap__GeneID_1454	Mmus__GeneID_104318, Mmus__GeneID_27373	Shae__MS3_00008614	Sjap__EWB00_009287	Sman__Smp_169950	Xlae__GeneID_108701007, Xlae__GeneID_108715790, Xlae__GeneID_380361, Xlae__GeneID_399381	Shae__MS3_00008614, Sjap__EWB00_009287, Sman__Smp_169950
OG0001759	Cele__WBGene00007008	Dmel__GeneID_38652	Hsap__GeneID_56254, Hsap__GeneID_9810	Mmus__GeneID_109331, Mmus__GeneID_233900	Shae__MS3_00010637, Shae__MS3_00010638	Sjap__EWB00_003655	Sman__Smp_213390, Sman__Smp_213400	Xlae__GeneID_100127292, Xlae__GeneID_398495, Xlae__GeneID_398536	Sman__Smp_213390
OG0001786	Cele__WBGene00000498, Cele__WBGene00012792, Cele__WBGene00017083, Cele__WBGene00019814, Cele__WBGene00019815, Cele__WBGene00019817	Dmel__GeneID_34993	Hsap__GeneID_1111	Mmus__GeneID_12649	Shae__MS3_00004470	Sjap__EWB00_006417	Sman__Smp_077180	Xlae__GeneID_108696394, Xlae__GeneID_398191	Shae__MS3_00004470, Sman__Smp_077180
OG0001799	Cele__WBGene00002178	Dmel__GeneID_44801	Hsap__GeneID_5599, Hsap__GeneID_5601, Hsap__GeneID_5602	Mmus__GeneID_26414, Mmus__GeneID_26419, Mmus__GeneID_26420		Sjap__EWB00_007519	Sman__Smp_172240	Xlae__GeneID_108704101, Xlae__GeneID_108711504, Xlae__GeneID_379876, Xlae__GeneID_398499	Sjap__EWB00_007519, Sman__Smp_172240
OG0001835	Cele__WBGene00006484, Cele__WBGene00022717	Dmel__GeneID_39450	Hsap__GeneID_3092, Hsap__GeneID_9026	Mmus__GeneID_215114, Mmus__GeneID_29816	Shae__MS3_00005288	Sjap__EWB00_005902	Sman__Smp_246550	Xlae__GeneID_108708045, Xlae__GeneID_108709361, Xlae__GeneID_432028, Xlae__GeneID_446450	Shae__MS3_00005288, Sjap__EWB00_005902, Sman__Smp_246550
OG0001908	Cele__WBGene00016913	Dmel__GeneID_39118	Hsap__GeneID_10319, Hsap__GeneID_3915, Hsap__GeneID_3918	Mmus__GeneID_16782, Mmus__GeneID_226519, Mmus__GeneID_23928	Shae__MS3_00004459	Sjap__EWB00_006126	Sman__Smp_163810	Xlae__GeneID_108714355, Xlae__GeneID_108714357, Xlae__GeneID_108715634	Shae__MS3_00004459, Sjap__EWB00_006126, Sman__Smp_163810
OG0001985	Cele__WBGene00020142	Dmel__GeneID_43904	Hsap__GeneID_5562, Hsap__GeneID_5563	Mmus__GeneID_105787, Mmus__GeneID_108079	Shae__MS3_00002715	Sjap__EWB00_004650	Sman__Smp_214100	Xlae__GeneID_108714249, Xlae__GeneID_108715541, Xlae__GeneID_399172, Xlae__GeneID_495290	Shae__MS3_00002715, Sjap__EWB00_004650, Sman__Smp_214100
OG0001988	Cele__WBGene00017630	Dmel__GeneID_38160	Hsap__GeneID_5770, Hsap__GeneID_5771	Mmus__GeneID_19246, Mmus__GeneID_19255	Shae__MS3_00003183	Sjap__EWB00_008528	Sman__Smp_139930	Xlae__GeneID_108702596, Xlae__GeneID_431888, Xlae__GeneID_444514, Xlae__GeneID_446745	Shae__MS3_00003183, Sjap__EWB00_008528, Sman__Smp_139930
OG0001998		Dmel__GeneID_37190	Hsap__GeneID_10612, Hsap__GeneID_23321	Mmus__GeneID_55992, Mmus__GeneID_80890	Shae__MS3_00007880	Sjap__EWB00_006606, Sjap__EWB00_006607	Sman__Smp_334130	Xlae__GeneID_108708789, Xlae__GeneID_443918, Xlae__GeneID_444525, Xlae__GeneID_495223	Shae__MS3_00007880, Sjap__EWB00_006607, Sman__Smp_334130
OG0002006	Cele__WBGene00016197	Dmel__GeneID_35215	Hsap__GeneID_5829, Hsap__GeneID_7041, Hsap__GeneID_9404	Mmus__GeneID_107321, Mmus__GeneID_19303, Mmus__GeneID_21804	Shae__MS3_00001381	Sjap__EWB00_003429	Sman__Smp_315700	Xlae__GeneID_734182, Xlae__GeneID_779337	Shae__MS3_00001381, Sjap__EWB00_003429, Sman__Smp_315700
OG0002012		Dmel__GeneID_32351	Hsap__GeneID_126374, Hsap__GeneID_84962, Hsap__GeneID_8994	Mmus__GeneID_101543, Mmus__GeneID_16475, Mmus__GeneID_29806	Shae__MS3_00008284	Sjap__EWB00_004965	Sman__Smp_248010	Xlae__GeneID_100127345, Xlae__GeneID_108704088, Xlae__GeneID_779085	Shae__MS3_00008284, Sjap__EWB00_004965, Sman__Smp_248010
OG0002052	Cele__WBGene00000409	Dmel__GeneID_39157	Hsap__GeneID_1024, Hsap__GeneID_23097	Mmus__GeneID_264064, Mmus__GeneID_78334	Shae__MS3_00002669	Sjap__EWB00_005624	Sman__Smp_156990	Xlae__GeneID_108708713, Xlae__GeneID_108717939, Xlae__GeneID_380415, Xlae__GeneID_447409	Sjap__EWB00_005624
OG0002061	Cele__WBGene00001043, Cele__WBGene00018516	Dmel__GeneID_40527	Hsap__GeneID_2580, Hsap__GeneID_9829	Mmus__GeneID_231580, Mmus__GeneID_72685	Shae__MS3_00003888	Sjap__EWB00_003710	Sman__Smp_047190	Xlae__GeneID_108706835, Xlae__GeneID_108714220, Xlae__GeneID_108715524	Sjap__EWB00_003710
OG0002065	Cele__WBGene00001121	Dmel__GeneID_34319	Hsap__GeneID_22858, Hsap__GeneID_4117	Mmus__GeneID_17152, Mmus__GeneID_56542	Shae__MS3_00003535	Sjap__EWB00_009479	Sman__Smp_210970	Xlae__GeneID_108716907, Xlae__GeneID_121395135, Xlae__GeneID_121395136, Xlae__GeneID_447015	Shae__MS3_00003535, Sjap__EWB00_009479
OG0002082	Cele__WBGene00002048	Dmel__GeneID_33277	Hsap__GeneID_5798, Hsap__GeneID_5799	Mmus__GeneID_19275, Mmus__GeneID_19276	Shae__MS3_00005371	Sjap__EWB00_009224	Sman__Smp_150220	Xlae__GeneID_108702927, Xlae__GeneID_108718467, Xlae__GeneID_108719827, Xlae__GeneID_444138	Shae__MS3_00005371, Sjap__EWB00_009224, Sman__Smp_150220
OG0002086	Cele__WBGene00002213	Dmel__GeneID_37233	Hsap__GeneID_2185, Hsap__GeneID_5747	Mmus__GeneID_14083, Mmus__GeneID_19229	Shae__MS3_00002824	Sjap__EWB00_007322	Sman__Smp_137610	Xlae__GeneID_108717254, Xlae__GeneID_108718305, Xlae__GeneID_399286, Xlae__GeneID_432072	Shae__MS3_00002824, Sjap__EWB00_007322, Sman__Smp_137610
OG0002087	Cele__WBGene00002248	Dmel__GeneID_43946	Hsap__GeneID_284217, Hsap__GeneID_3908	Mmus__GeneID_16772, Mmus__GeneID_16773	Shae__MS3_00000668, Shae__MS3_00008956, Shae__MS3_00008957	Sjap__EWB00_001328	Sman__Smp_343650	Xlae__GeneID_108716137, Xlae__GeneID_108718546	Shae__MS3_00008957, Sjap__EWB00_001328, Sman__Smp_343650
OG0002104	Cele__WBGene00004034	Dmel__GeneID_47594	Hsap__GeneID_5584, Hsap__GeneID_5590	Mmus__GeneID_18759, Mmus__GeneID_18762	Shae__MS3_00004315	Sjap__EWB00_005467	Sman__Smp_096310	Xlae__GeneID_108697633, Xlae__GeneID_108705375, Xlae__GeneID_373768, Xlae__GeneID_399287	Shae__MS3_00004315, Sjap__EWB00_005467, Sman__Smp_096310
OG0002125	Cele__WBGene00004762	Dmel__GeneID_35154	Hsap__GeneID_22848, Hsap__GeneID_55589	Mmus__GeneID_140780, Mmus__GeneID_269774	Shae__MS3_00008601	Sjap__EWB00_001961	Sman__Smp_176750	Xlae__GeneID_108706817, Xlae__GeneID_108711545, Xlae__GeneID_108712220, Xlae__GeneID_108712767	Shae__MS3_00008601, Sjap__EWB00_001961, Sman__Smp_176750
OG0002147	Cele__WBGene00006786	Dmel__GeneID_39454	Hsap__GeneID_8408, Hsap__GeneID_9706	Mmus__GeneID_22241, Mmus__GeneID_29869	Shae__MS3_00006313	Sjap__EWB00_008732	Sman__Smp_157350	Xlae__GeneID_108707144, Xlae__GeneID_108708293, Xlae__GeneID_108709614, Xlae__GeneID_108716267	Shae__MS3_00006313, Sman__Smp_157350
OG0002150	Cele__WBGene00006826	Dmel__GeneID_40999	Hsap__GeneID_100288695, Hsap__GeneID_3987, Hsap__GeneID_55679, Hsap__GeneID_96626	Mmus__GeneID_110829, Mmus__GeneID_225341	Shae__MS3_00001825	Sjap__EWB00_009541	Sman__Smp_165070	Xlae__GeneID_432196, Xlae__GeneID_444502	Shae__MS3_00001825, Sjap__EWB00_009541, Sman__Smp_165070
OG0002154	Cele__WBGene00007007	Dmel__GeneID_44573	Hsap__GeneID_7867, Hsap__GeneID_9261	Mmus__GeneID_102626, Mmus__GeneID_17164	Shae__MS3_00007604	Sjap__EWB00_007161	Sman__Smp_053560	Xlae__GeneID_108714604, Xlae__GeneID_432084, Xlae__GeneID_495118, Xlae__GeneID_779225	Shae__MS3_00007604, Sjap__EWB00_007161, Sman__Smp_053560
OG0002191	Cele__WBGene00010664	Dmel__GeneID_39520	Hsap__GeneID_1627, Hsap__GeneID_28988	Mmus__GeneID_13169, Mmus__GeneID_56320	Shae__MS3_00007496	Sjap__EWB00_007274	Sman__Smp_247740	Xlae__GeneID_108710970, Xlae__GeneID_379806, Xlae__GeneID_444592, Xlae__GeneID_494829	Shae__MS3_00007496, Sjap__EWB00_007274, Sman__Smp_247740
OG0002218	Cele__WBGene00013355	Dmel__GeneID_44233	Hsap__GeneID_27347, Hsap__GeneID_9943	Mmus__GeneID_108737, Mmus__GeneID_53416	Shae__MS3_00002424	Sjap__EWB00_008286	Sman__Smp_131800	Xlae__GeneID_108701360, Xlae__GeneID_108702982, Xlae__GeneID_446749, Xlae__GeneID_446771	Shae__MS3_00002424, Sjap__EWB00_008286, Sman__Smp_131800
OG0002257	Cele__WBGene00018187	Dmel__GeneID_41719	Hsap__GeneID_11344, Hsap__GeneID_5756	Mmus__GeneID_19230, Mmus__GeneID_23999	Shae__MS3_00005251	Sjap__EWB00_007739	Sman__Smp_308420	Xlae__GeneID_108711121, Xlae__GeneID_379995, Xlae__GeneID_447307, Xlae__GeneID_447782	Shae__MS3_00005251, Sjap__EWB00_007739, Sman__Smp_308420
